accidente,hora,operador,tipo de aeronave,modelo,personas a bordo,pasajeros a bordo,tripulantes a bordo,total de fallecidos,pasajeros fallecidos,tripulantes fallecidos,afectados en tierra,sobrevivientes,militar,país
1925-07-24,00:00:00,CIDNA,Potez IX,No Data,1,0,1,1,0,1,0,0,No militar,Hungary
1925-09-03,05:30:00,MILITARY - U.S. NAVY,Dirigible ZR-1 Shenandoah (airship),No Data,43,0,43,14,0,14,0,29,Militar,U.S.A.
1925-10-01,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1925-11-14,00:00:00,LIGNES AERIENNES LATECOERE,Breguet 14,168,1,0,1,1,0,1,0,0,No militar,Mauritania
1925-11-14,00:00:00,AIR UNION,Farman F-60 Goliath,No Data,2,-1,-1,2,-1,-1,0,0,No militar,France
1926-02-12,00:00:00,US AERIAL MAIL SERVICE,Curtiss Carrier Pigeon,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1926-03-08,00:00:00,DEUTCHE LUFTHANSA,Junkers F-13,665,1,0,1,1,0,1,0,0,No militar,Germany
1926-05-31,00:00:00,AIR UNION,Breguet 14,1908,1,0,1,1,0,1,0,0,No militar,Ocean
1926-07-03,00:00:00,COMPAGNIE INTERNATIONALE DE NAVIGATION AÉRIENNE,Caudron C-61,5307,6,4,2,6,4,2,0,0,No militar,Ocean
1926-07-09,09:30:00,KLM ROYAL DUTCH AIRLINES,Fokker F7,4759,2,1,1,2,1,1,0,0,No militar,Belgium
1926-07-24,00:00:00,DEUTSCHE LUFTHANSA,Junkers F-13,660,5,4,1,5,4,1,0,0,No militar,Germany
1926-08-18,00:00:00,AIR UNION,Bleriot 155,2,15,13,2,3,2,1,0,12,No militar,Ocean
1926-09-26,00:00:00,NO DATA,Sikorsky S-25,No Data,5,4,1,2,2,0,0,3,No militar,U.S.A.
1926-10-02,15:27:00,AIR UNION,Bleriot 155,1,7,5,2,7,5,2,0,0,No militar,Ocean
1926-10-08,00:00:00,DEUTSCHE LUFTHANSA,Fokker FG III,1554,4,3,1,4,3,1,0,0,No militar,Germany
1926-10-21,13:15:00,IMPERIAL AIRWAYS,Handley Page W-10,W10/3,12,10,2,0,0,0,0,12,No militar,Ocean
1926-11-11,08:00:00,GRANDS EXPRESS AERIENS,Breguet 14,198,3,3,0,3,3,0,0,0,No militar,Morocco
1926-12-16,00:00:00,PACIFIC AIR TRANSPORT,Ryan M-1,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1927-03-20,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,No Data,1,0,1,1,0,1,0,0,No militar,Morocco
1927-03-24,00:00:00,QANTAS,de Havilland DH-9C,86,3,2,1,3,2,1,0,0,No militar,Australia
1927-04-15,00:00:00,VARNEY AIR LINES,"SwallowSwallow",A28,1,0,1,1,0,1,0,0,No militar,U.S.A.
1927-04-22,00:00:00,DEUTSCHE LUFTHANSA,Fokker FG III,1567,2,1,1,2,1,1,0,0,No militar,Germany
1927-04-22,00:00:00,US AERIAL MAIL SERVICE,Douglas M-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1927-05-02,00:00:00,AIR UNION,SPCA Meteore 63,No Data,3,0,3,1,0,1,0,2,No militar,Algeria
1927-07-27,00:00:00,DEUTSCHE LUFTHANSA,Junkers F-13,591,5,3,2,5,3,2,0,0,No militar,Germany
1927-08-22,08:30:00,KLM ROYAL DUTCH AIRLINES,Fokker F-VIII,4993,11,9,2,1,0,1,0,10,No militar,Ocean
